Entity,Wallet,Label,,,,,,,,,,
AscendEX 2,0x4b1a99467a284cc690e3237bc69105956816f762,Exchange,,,,,,,,,,
AscendEX 3,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,Exchange,,,,,,,,,,
Bitfinex 1,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Exchange,,,,,,,,,,
Bitfinex 2,0x742d35cc6634c0532925a3b844bc454e4438f44e,Exchange,,,,,,,,,,
Bitfinex 3,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Exchange,,,,,,,,,,
Bitfinex: Contract 1,0x7727e5113d1d161373623e5f49fd568b4f543a9e,Exchange,,,,,,,,,,
Bitfinex: Contract 2,0x0e55c54249f25f70d519b7fb1c20e3331e7ba76d,Exchange,,,,,,,,,,
Bitfinex: Deployer 1,0x5dbdebcae07cc958ba5290ff9deaae554e29e7b4,Exchange,,,,,,,,,,
Bitfinex: Deployer 2,0x2ee3b2df6534abc759ffe994f7b8dcdfaa02cd31,Exchange,,,,,,,,,,
Bitfinex: Deployer 3,0xe1f3c653248de6894d683cb2f10de7ca2253046f,Exchange,,,,,,,,,,
Bitfinex: Deployer 4,0x2903cadbe271e057edef157340b52a5898d7424f,Exchange,,,,,,,,,,
Bitfinex: Deployer 5,0x36928500bc1dcd7af6a2b4008875cc336b927d57,Exchange,,,,,,,,,,
Bitfinex: Deployer 6,0x14d06788090769f669427b6aea1c0240d2321f34,Exchange,,,,,,,,,,
Bitfinex: LEO Token,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,Exchange,,,,,,,,,,
Bitfinex: MultiSig 1,0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Exchange,,,,,,,,,,
Bitfinex: MultiSig 2,0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Exchange,,,,,,,,,,
Bitfinex: MultiSig 3,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Exchange,,,,,,,,,,
Bitfinex: Old Address 1,0xcafb10ee663f465f9d10588ac44ed20ed608c11e,Exchange,,,,,,,,,,
Bitfinex: Old Address 2,0x7180eb39a6264938fdb3effd7341c4727c382153,Exchange,,,,,,,,,,
Bitfinex: Old Contract 1,0x69c6dcc8f83b196605fa1076897af0e7e2b6b044,Exchange,,,,,,,,,,
Bitfinex: Old Contract 2,0x8d5a41e85f4ce2433beef476305d307b9205d98d,Exchange,,,,,,,,,,
Euro Tether: EURT Token,0xc581b735a1688071a1746c968e0798d642ede491,Exchange,,,,,,,,,,
EURT:undefined,0xabdf147870235fcfc34153828c769a70b3fae01f,Exchange,,,,,,,,,,
Tether Gold: XAUt Token,0x4922a015c4407f87432b179bb209e125432e4a2a,Exchange,,,,,,,,,,
Tether: Treasury,0x5754284f345afc66a98fbb0a0afe71e0f007b949,Exchange,,,,,,,,,,
Tether: USDT Stablecoin,0xdac17f958d2ee523a2206206994597c13d831ec7,Exchange,,,,,,,,,,
Celsius Network: CEL Partners,0x5089afdb4328c2e90d4bbeb2b62421f51a687430,Lending,,,,,,,,,,
Celsius Network: CEL Team,0xb2d9fecc991a81eb237028262517f61dd8177b4f,Lending,,,,,,,,,,
Celsius Network: CEL Token,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,Lending,,,,,,,,,,
Celsius Network: CEL Treasury,0xce606c7028a0702de6ef30c69c9dca4e3d46ffbd,Lending,,,,,,,,,,
Celsius Network: CEL Treasury Reserve,0x81b5ce15aa64e1dcefc18f810de7d18115230586,Lending,,,,,,,,,,
Celsius Network: Contract,0x32a3256a4b15badd4a6e072a03d23404d925a5cf,Lending,,,,,,,,,,
Celsius Network: Deployer,0x2abf9f753d0af02cca358f98d633bad81cc555ed,Lending,,,,,,,,,,
Celsius Network: Wallet,0x7de3e919d1d7e5f1b1b27bdb3575b65c5874a5f6,Lending,,,,,,,,,,
Celsius Network: Wallet 10,0x917334942eee7c32dcccfbde975f3e0ac30efac4,Lending,,,,,,,,,,
Celsius Network: Wallet 2,0x75db8b92937f8f86213e523788ab9f066efde3fe,Lending,,,,,,,,,,
Celsius Network: Wallet 3,0x721e3d8aa92d1f26936f6945f176415f66a88588,Lending,,,,,,,,,,
Celsius Network: Wallet 4,0xb26314635252b4ee8b454423e5299a092dea8a4a,Lending,,,,,,,,,,
Celsius Network: Wallet 5,0x4f6742badb049791cd9a37ea913f2bac38d01279,Lending,,,,,,,,,,
Celsius Network: Wallet 6,0x8b47ed08fd5f134c57b826fbd33e1de121de880d,Lending,,,,,,,,,,
Celsius Network: Wallet 7,0x84e1f49a6b65882c7365b6a775999cfcb481f22f,Lending,,,,,,,,,,
Celsius Network: Wallet 8,0x3be6d80fdce385358f5762998882efc282df7b9a,Lending,,,,,,,,,,
Celsius Network: Wallet 9,0x91e9a131446ab538d30746c79d43908faef3f289,Lending,,,,,,,,,,
Gate.io,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Exchange,,,,,,,,,,
Gate.io 2,0x7793cd85c11a924478d358d49b05b37e91b5810f,Exchange,,,,,,,,,,
Gate.io 3,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Exchange,,,,,,,,,,
Gate.io: Contract,0xd793281182a0e3e023116004778f45c29fc14f19,Exchange,,,,,,,,,,
MetaMask: DS Proxy,0xf326e4de8f66a0bdc0970b79e0924e33c79f1915,Wallet Provider,,,,,,,,,,
Metamask: Fees,0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb,Wallet Provider,,,,,,,,,,
Metamask: Swap Router,0x881d40237659c251811cec9c364ef91dc08d300c,Wallet Provider,,,,,,,,,,
MiningPoolHub,0x3ecef08d0e2dad803847e052249bb4f8bff2d5bb,Mining,,,,,,,,,,
Nexo 1,0x00ee047a66d5cff27587a61559138c26b62f7ceb,Lending,,,,,,,,,,
Nexo 2,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,Lending,,,,,,,,,,
Nexo 3,0x0031e147a79c45f24319dc02ca860cb6142fcba1,Lending,,,,,,,,,,
Nexo Token,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,Lending,,,,,,,,,,
Bitfinex 1,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,OTC,,,,,,,,,,
Counter Network,0x5d509a25f25190e77a1e46e72333788b1f069ce1,OTC,,,,,,,,,,
DeversiFi: OTC,0xd924bdd6fa7fd3d0eb1337853a814a4263dcbfe8,OTC,,,,,,,,,,
DigiFinex,0xe17ee7b3c676701c66b395a35f0df4c2276a344e,OTC,,,,,,,,,,
HEXOTC,0x204b937feaec333e9e6d72d35f1d131f187ecea1,OTC,,,,,,,,,,
Huobi 1,0xab5c66752a9e8167967685f1450532fb96d5d24f,OTC,,,,,,,,,,
LocalEthereum 1,0x867ffb5a3871b500f65bdfafe0136f9667deae06,OTC,,,,,,,,,,
OTC: 0x054...58e,0x0548f59fee79f8832c299e01dca5c76f034f558e,OTC,,,,,,,,,,
Rarible: Treasury,x1cf0df2a5a20cd61d68d4489eebbf85b8d39e18a,NFT,,,,,,,,,,
KuCoin,0x2b5634c42055806a59e9107ed44d43c426e58258,Exchange,,,,,,,,,,
KuCoin 2,0x689c56aef474df92d44a1b70850f808488f9769c,Exchange,,,,,,,,,,
KuCoin 3,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,Exchange,,,,,,,,,,
KuCoin 4,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,Exchange,,,,,,,,,,
KuCoin 5,0x1692e170361cefd1eb7240ec13d048fd9af6d667,Exchange,,,,,,,,,,
KuCoin 6,0xd6216fc19db775df9774a6e33526131da7d19a2c,Exchange,,,,,,,,,,
KuCoin Contract,0x2602669a92fccf44e5319ff51b0f453aab9db021,Exchange,,,,,,,,,,
KuCoin: Deployer,0xf2b16510270a214130c6b17ff0e9bf87585126bd,Exchange,,,,,,,,,,
KuCoin: KCS Token,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,Exchange,,,,,,,,,,
KuCoin: Old KCS Token,0x039b5649a59967e3e936d7471f9c3700100ee1ab,Exchange,,,,,,,,,,
Bitstamp 1,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Exchange,,,,,,,,,,
Bitstamp 2,0x1522900b6dafac587d499a862861c0869be6e428,Exchange,,,,,,,,,,
Bitstamp 3,0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Exchange,,,,,,,,,,
Bitstamp 4,0x059799f2261d37b829c2850cee67b5b975432271,Exchange,,,,,,,,,,
Bitstamp 5,0x4c766def136f59f6494f0969b1355882080cf8e0,Exchange,,,,,,,,,,
Bitstamp 6,0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Exchange,,,,,,,,,,
Bitstamp: Deployer,0x538d72ded42a76a30f730292da939e0577f22f57,Exchange,,,,,,,,,,
Bitstamp: Old Address 1,0xfca70e67b3f93f679992cd36323eeb5a5370c8e4,Exchange,,,,,,,,,,
0x,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,Exchange,,,,,,,,,,
Huobi,0xeee28d484628d41a82d01e21d12e2e78d69920da,Exchange,,,,,,,,,,
Gemini,0x5f65f7b609678448494de4c87521cdf6cef1e932,Exchange,,,,,,,,,,
Poloniex,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Exchange,,,,,,,,,,
Kraken,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,Exchange,,,,,,,,,,
Jump Trading,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,Market Maker,,,,,,,,,,
